"under lane closures 7/29 thru 9/9, Mon-Thurs 11pm-5am, Fri 11pm-Sat 6am, Sun 12:01am-12pm",lane closures,"BQE,BulovaAveBridge",,09-09-2015 and 29-07-2015,11pm-5am
"Full closure of NORTH tube (FDR Dr to Route 9A) from 1am-8am, Sat 7/25. South tube closures will resume 7/28 12:01am",full closure north tube route south tube closures resume,BatteryParkUnderpass,,25-07-2015 and 28-07-2015,12:01am
over E.167th St: temporary elimination of parking & weeknite underpass lane closures begin 7/27,temporary lane closures,GrandConcourseBridge,,27-07-2015,empty
"intermittent 15 min bridge closures 7/25 & 7/28 thru 8/1, 2am-5am. See below for travel alternatives",bridge closures travel alternatives,WillisAveBridge,,01-08-2015 and 25-07-2015 and 28-07-2015,2am-5am
"one north tube lane closure, weekdays only 7/27 to 9/4 10am-3pm",north tube lane,BatteryParkUnderpass,,04-09-2015 and 27-07-2015,10am-3pm
"under closures twice/wk 7/27 to 8/28: 1 lane closed 12:01am-5am, 2 lanes closed 1am-5am",closures lane closed lanes closed,"BeltParkway,ConeyIslandAve",,27-07-2015 and 28-08-2015,12:01am-5am
Nightly MN-bd closures extend to daytime hours this weekend: 12:01am 7/25 until 5am 7/27. More info:,closures extend,BrooklynBridge,,25-07-2015,5am
"REMINDER: south tube closed 7/21 thru 8/8, Tues-Fri 12:01am-5am & Sat 1am-8am",reminder south tube closed,BatteryParkUnderpass,,08-08-2015 and 21-07-2015,12:01am-5am
"REMINDER: closures 7/20 & 7/22, eastbound lane closed 11pm-5am, intermittent full closures 1am-5am",reminder closures eastbound lane closed full closures,PelhamBridge,,20-07-2015 and 22-07-2015,11pm-5am
"early morning 15 min intermittent bridge closures 7/21-7/23, 2am-5am",bridge closures,WillisAvenueBridge,,21-07-2015 to 23-07-2015,2am-5am
"Ongoing Queensboro Bridge nighttime repair on Qns-bd lower roadway, thru 8/30.",bridge repair lower,,,30-08-2015,empty
"south tube closed from Route 9A to 7/21 thru 8/8, Tues-Fri 12:01am-5am & Sat 1am-8am",south tube closed route,"BatteryParkUnderpass,FDRDrive",,08-08-2015 and 21-07-2015,12:01am-5am
